"Vitamin C cures the common cold.",misinformation
"Humans only use 10% of their brains.",misinformation
"The Earth is flat.",misinformation
"Elvis Presley is still alive and lives secretly in Hawaii.",misinformation
"Eating carrots improves your vision at night.",misinformation
"Coffee is made from beans.",fact
"Bats are blind.",misinformation
"Lightning never strikes the same place twice.",misinformation
"Goldfish have a 3-second memory span.",misinformation
"There are five oceans on our planet.",fact
"Dogs see in black and white.",misinformation
"Vaccines cause autism.",misinformation
"Drinking alcohol warms the body.",misinformation
"The Great Pyramid of Giza is the only wonder of the ancient world still existing.",fact
"Touching a toad can cause warts.",misinformation
